Date : 2024-01-22 12:21:42
Directory : g:\codecanyon-PCAdfcae-SwiftTech-multivendor-ecommerce-complete-ecommerce-mobile-app-web-and-admin-panel\Wave Mall\lib
Total : 428 files,  35421 codes, 373 comments, 5905 blanks, all 41699 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| features\address\domain\repo (Files)                                                                                                                                                                |          1 |        113 |          0 |         20 |        133 |
| features\address\domain\repo\contracts                                                                                                                                                              |          1 |          2 |          0 |          1 |          3 |
| features\address\domain\service                                                                                                                                                                     |          1 |          2 |          0 |          1 |          3 |
| features\address\views                                                                                                                                                                              |          4 |        627 |          0 |         71 |        698 |
| features\address\widgets                                                                                                                                                                            |          3 |        112 |          0 |         16 |        128 |
| features\auth                                                                                                                                                                                       |         17 |      2,230 |         30 |        421 |      2,681 |
| features\auth\controllers                                                                                                                                                                           |          3 |        396 |          1 |         80 |        477 |
| features\auth\domain                                                                                                                                                                                |          5 |        385 |          6 |         95 |        486 |
| features\auth\domain\models                                                                                                                                                                         |          3 |         72 |          0 |         13 |         85 |
| features\auth\domain\repositories                                                                                                                                                                   |          2 |        313 |          6 |         82 |        401 |
| features\auth\domain\repositories (Files)                                                                                                                                                           |          1 |        281 |          6 |         52 |        339 |
| features\auth\domain\repositories\contracts                                                                                                                                                         |          1 |         32 |          0 |         30 |         62 |
| features\auth\views                                                                                                                                                                                 |          2 |        228 |          0 |         37 |        265 |
| features\auth\widgets                                                                                                                                                                               |          7 |      1,221 |         23 |        209 |      1,453 |
| features\banner                                                                                                                                                                                     |          8 |        405 |          5 |         76 |        486 |
| features\banner\controllers                                                                                                                                                                         |          1 |        113 |          0 |         20 |        133 |
| features\banner\domain                                                                                                                                                                              |          3 |         90 |          5 |         17 |        112 |
| features\banner\domain\models                                                                                                                                                                       |          1 |         49 |          0 |          5 |         54 |
| features\banner\domain\repositories                                                                                                                                                                 |          2 |         41 |          5 |         12 |         58 |
| features\banner\domain\repositories (Files)                                                                                                                                                         |          1 |         38 |          5 |         10 |         53 |
| features\banner\domain\repositories\contracts                                                                                                                                                       |          1 |          3 |          0 |          2 |          5 |
| features\banner\widgets                                                                                                                                                                             |          4 |        202 |          0 |         39 |        241 |
| features\brand                                                                                                                                                                                      |          6 |        317 |          0 |         53 |        370 |
| features\brand\controllers                                                                                                                                                                          |          1 |         71 |          0 |         15 |         86 |
| features\brand\domain                                                                                                                                                                               |          3 |         73 |          0 |         17 |         90 |
| features\brand\domain\models                                                                                                                                                                        |          1 |         46 |          0 |         10 |         56 |
| features\brand\domain\repositories                                                                                                                                                                  |          2 |         27 |          0 |          7 |         34 |
| features\brand\domain\repositories (Files)                                                                                                                                                          |          1 |         24 |          0 |          5 |         29 |
| features\brand\domain\repositories\contracts                                                                                                                                                        |          1 |          3 |          0 |          2 |          5 |
| features\brand\views                                                                                                                                                                                |          1 |         51 |          0 |          5 |         56 |
| features\brand\widgets                                                                                                                                                                              |          1 |        122 |          0 |         16 |        138 |
| features\cart                                                                                                                                                                                       |         11 |      1,387 |          1 |        223 |      1,611 |
| features\cart\controllers                                                                                                                                                                           |          1 |        257 |          0 |         56 |        313 |
| features\cart\domain                                                                                                                                                                                |          7 |        474 |          0 |         66 |        540 |
| features\cart\domain\models                                                                                                                                                                         |          4 |        274 |          0 |         41 |        315 |
| features\cart\domain\repositories                                                                                                                                                                   |          2 |        106 |          0 |         13 |        119 |
| features\cart\domain\repositories (Files)                                                                                                                                                           |          1 |        106 |          0 |         12 |        118 |
| features\cart\domain\repositories\contracts                                                                                                                                                         |          1 |          0 |          0 |          1 |          1 |
| features\cart\domain\services                                                                                                                                                                       |          1 |         94 |          0 |         12 |        106 |
| features\cart\views                                                                                                                                                                                 |          1 |        395 |          0 |         66 |        461 |
| features\cart\widget                                                                                                                                                                                |          2 |        261 |          1 |         35 |        297 |
| features\category                                                                                                                                                                                   |         11 |        688 |          0 |         87 |        775 |
| features\category\controllers                                                                                                                                                                       |          1 |         66 |          0 |         15 |         81 |
| features\category\domain                                                                                                                                                                            |          6 |        296 |          0 |         34 |        330 |
| features\category\domain\model                                                                                                                                                                      |          2 |        264 |          0 |         28 |        292 |
| features\category\domain\repo                                                                                                                                                                       |          2 |         28 |          0 |          3 |         31 |
| features\category\domain\service                                                                                                                                                                    |          2 |          4 |          0 |          3 |          7 |
| features\category\view                                                                                                                                                                              |          1 |        209 |          0 |         17 |        226 |
| features\category\widget                                                                                                                                                                            |          3 |        117 |          0 |         21 |        138 |
| features\chat                                                                                                                                                                                       |         17 |      1,218 |          4 |        213 |      1,435 |
| features\chat\domain                                                                                                                                                                                |          7 |        283 |          0 |         64 |        347 |
| features\chat\domain\model                                                                                                                                                                          |          3 |        211 |          0 |         48 |        259 |
| features\chat\domain\repo                                                                                                                                                                           |          2 |         68 |          0 |         13 |         81 |
| features\chat\domain\service                                                                                                                                                                        |          2 |          4 |          0 |          3 |          7 |
| features\chat\provider                                                                                                                                                                              |          1 |        174 |          0 |         40 |        214 |
| features\chat\view                                                                                                                                                                                  |          2 |        338 |          3 |         48 |        389 |
| features\chat\widget                                                                                                                                                                                |          7 |        423 |          1 |         61 |        485 |
| features\checkout                                                                                                                                                                                   |         19 |      1,907 |          1 |        337 |      2,245 |
| features\checkout\domain                                                                                                                                                                            |          3 |        163 |          0 |         42 |        205 |
| features\checkout\domain\model                                                                                                                                                                      |          2 |         46 |          0 |         18 |         64 |
| features\checkout\domain\repo                                                                                                                                                                       |          1 |        117 |          0 |         24 |        141 |
| features\checkout\provider                                                                                                                                                                          |          1 |        219 |          0 |         47 |        266 |
| features\checkout\view                                                                                                                                                                              |          2 |        468 |          1 |         91 |        560 |
| features\checkout\widget                                                                                                                                                                            |         13 |      1,057 |          0 |        157 |      1,214 |
| features\compare                                                                                                                                                                                    |          9 |        482 |          0 |         90 |        572 |
| features\compare\domain                                                                                                                                                                             |          6 |        106 |          0 |         28 |        134 |
| features\compare\domain\model                                                                                                                                                                       |          2 |         51 |          0 |         16 |         67 |
| features\compare\domain\repo                                                                                                                                                                        |          2 |         51 |          0 |          9 |         60 |
| features\compare\domain\service                                                                                                                                                                     |          2 |          4 |          0 |          3 |          7 |
| features\compare\provider                                                                                                                                                                           |          1 |         71 |          0 |         18 |         89 |
| features\compare\view                                                                                                                                                                               |          1 |        279 |          0 |         42 |        321 |
| features\compare\widget                                                                                                                                                                             |          1 |         26 |          0 |          2 |         28 |
| features\contact_us                                                                                                                                                                                 |          1 |        120 |          0 |         13 |        133 |
| features\coupon                                                                                                                                                                                     |          9 |        510 |          0 |         77 |        587 |
| features\coupon\domain                                                                                                                                                                              |          6 |        252 |          0 |         33 |        285 |
| features\coupon\domain\model                                                                                                                                                                        |          2 |        207 |          0 |         23 |        230 |
| features\coupon\domain\repo                                                                                                                                                                         |          2 |         43 |          0 |          8 |         51 |
| features\coupon\domain\service                                                                                                                                                                      |          2 |          2 |          0 |          2 |          4 |
| features\coupon\provider                                                                                                                                                                            |          1 |         96 |          0 |         22 |        118 |
| features\coupon\view                                                                                                                                                                                |          1 |         48 |          0 |          6 |         54 |
| features\coupon\widget                                                                                                                                                                              |          1 |        114 |          0 |         16 |        130 |
| features\dashboard                                                                                                                                                                                  |          1 |        128 |          0 |         32 |        160 |
| features\deal                                                                                                                                                                                       |         15 |        678 |          2 |        137 |        817 |
| features\deal\domain                                                                                                                                                                                |          7 |        120 |          0 |         26 |        146 |
| features\deal\domain\model                                                                                                                                                                          |          2 |         75 |          0 |         16 |         91 |
| features\deal\domain\repo                                                                                                                                                                           |          3 |         41 |          0 |          7 |         48 |
| features\deal\domain\service                                                                                                                                                                        |          2 |          4 |          0 |          3 |          7 |
| features\deal\provider                                                                                                                                                                              |          2 |         85 |          0 |         18 |        103 |
| features\deal\view                                                                                                                                                                                  |          2 |         51 |          0 |         14 |         65 |
| features\deal\widget                                                                                                                                                                                |          4 |        422 |          2 |         79 |        503 |
| features\guest                                                                                                                                                                                      |          1 |         69 |          0 |         10 |         79 |
| features\home                                                                                                                                                                                       |         30 |      2,768 |         42 |        564 |      3,374 |
| features\home\model                                                                                                                                                                                 |          2 |        135 |          0 |         18 |        153 |
| features\home\shimmer                                                                                                                                                                               |         10 |        653 |          0 |        166 |        819 |
| features\home\view                                                                                                                                                                                  |          3 |      1,018 |         40 |        242 |      1,300 |
| features\home\widget                                                                                                                                                                                |         15 |        962 |          2 |        138 |      1,102 |
| features\home\widget (Files)                                                                                                                                                                        |          6 |        284 |          0 |         32 |        316 |
| features\home\widget\aster_theme                                                                                                                                                                    |          5 |        427 |          0 |         55 |        482 |
| features\home\widget\fashion_theme                                                                                                                                                                  |          2 |        121 |          0 |         19 |        140 |
| features\home\widget\just_for_you                                                                                                                                                                   |          2 |        130 |          2 |         32 |        164 |
| features\location                                                                                                                                                                                   |          8 |        601 |          0 |         88 |        689 |
| features\location\controllers                                                                                                                                                                       |          1 |        178 |          0 |         31 |        209 |
| features\location\domain                                                                                                                                                                            |          5 |        273 |          0 |         41 |        314 |
| features\location\domain\models                                                                                                                                                                     |          2 |        235 |          0 |         31 |        266 |
| features\location\domain\repos                                                                                                                                                                      |          2 |         36 |          0 |          9 |         45 |
| features\location\domain\repos (Files)                                                                                                                                                              |          1 |         34 |          0 |          8 |         42 |
| features\location\domain\repos\contracts                                                                                                                                                            |          1 |          2 |          0 |          1 |          3 |
| features\location\domain\service                                                                                                                                                                    |          1 |          2 |          0 |          1 |          3 |
| features\location\view                                                                                                                                                                              |          1 |         95 |          0 |         13 |        108 |
| features\location\widget                                                                                                                                                                            |          1 |         55 |          0 |          3 |         58 |
| features\loyaltyPoint                                                                                                                                                                               |         11 |        698 |          0 |        114 |        812 |
| features\loyaltyPoint\domain                                                                                                                                                                        |          4 |        172 |          0 |         19 |        191 |
| features\loyaltyPoint\domain\model                                                                                                                                                                  |          1 |        140 |          0 |         12 |        152 |
| features\loyaltyPoint\domain\repo                                                                                                                                                                   |          1 |         28 |          0 |          4 |         32 |
| features\loyaltyPoint\domain\service                                                                                                                                                                |          2 |          4 |          0 |          3 |          7 |
| features\loyaltyPoint\provider                                                                                                                                                                      |          1 |         65 |          0 |         17 |         82 |
| features\loyaltyPoint\view                                                                                                                                                                          |          1 |         75 |          0 |          6 |         81 |
| features\loyaltyPoint\widget                                                                                                                                                                        |          5 |        386 |          0 |         72 |        458 |
| features\maintenance                                                                                                                                                                                |          1 |         23 |          0 |          6 |         29 |
| features\more                                                                                                                                                                                       |          5 |        500 |          0 |         90 |        590 |
| features\more (Files)                                                                                                                                                                               |          2 |        327 |          0 |         70 |        397 |
| features\more\widget                                                                                                                                                                                |          3 |        173 |          0 |         20 |        193 |
| features\notification                                                                                                                                                                               |          7 |        319 |          0 |         42 |        361 |
| features\notification\domain                                                                                                                                                                        |          4 |        111 |          0 |         17 |        128 |
| features\notification\domain\model                                                                                                                                                                  |          1 |         82 |          0 |         13 |         95 |
| features\notification\domain\repo                                                                                                                                                                   |          1 |         25 |          0 |          2 |         27 |
| features\notification\domain\service                                                                                                                                                                |          2 |          4 |          0 |          2 |          6 |
| features\notification\provider                                                                                                                                                                      |          1 |         32 |          0 |          7 |         39 |
| features\notification\view                                                                                                                                                                          |          1 |        134 |          0 |          9 |        143 |
| features\notification\widget                                                                                                                                                                        |          1 |         42 |          0 |          9 |         51 |
| features\offer                                                                                                                                                                                      |          1 |         64 |          0 |          7 |         71 |
| features\offline_payment                                                                                                                                                                            |          3 |        259 |          0 |         40 |        299 |
| features\offline_payment\domain                                                                                                                                                                     |          1 |         69 |          0 |         17 |         86 |
| features\offline_payment\domain\model                                                                                                                                                               |          1 |         69 |          0 |         17 |         86 |
| features\offline_payment\view                                                                                                                                                                       |          1 |        128 |          0 |         18 |        146 |
| features\offline_payment\widget                                                                                                                                                                     |          1 |         62 |          0 |          5 |         67 |
| features\onboarding                                                                                                                                                                                 |          5 |        173 |          0 |         26 |        199 |
| features\onboarding\domain                                                                                                                                                                          |          3 |         49 |          0 |          8 |         57 |
| features\onboarding\domain\model                                                                                                                                                                    |          1 |          9 |          0 |          3 |         12 |
| features\onboarding\domain\repo                                                                                                                                                                     |          2 |         40 |          0 |          5 |         45 |
| features\onboarding\provider                                                                                                                                                                        |          1 |         27 |          0 |          7 |         34 |
| features\onboarding\view                                                                                                                                                                            |          1 |         97 |          0 |         11 |        108 |
| features\order                                                                                                                                                                                      |         29 |      3,151 |         26 |        590 |      3,767 |
| features\order\domain                                                                                                                                                                               |         10 |      1,129 |          0 |        126 |      1,255 |
| features\order\domain\model                                                                                                                                                                         |          6 |        986 |          0 |         96 |      1,082 |
| features\order\domain\repo                                                                                                                                                                          |          2 |        141 |          0 |         28 |        169 |
| features\order\domain\service                                                                                                                                                                       |          2 |          2 |          0 |          2 |          4 |
| features\order\provider                                                                                                                                                                             |          1 |        290 |          0 |         57 |        347 |
| features\order\view                                                                                                                                                                                 |          2 |        297 |          0 |        106 |        403 |
